StateName,StateFIPS,PumaState,PUMA,Counties Within PUMA,uninsured_total,uninsured_percent,Foodstamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,%_EducatedPersons
California,6,602207,2207,SanFranciscoCounty(part),15344,16.8,3173,1438,4016,2490,5861,1539,7742,762,4675,3436,5662,843,1357,717,426,897,1519,2645,1541,2157,2905,10021,1106,215710.04301355578
California,6,602301,2301,SanMateoCounty(part),13931,11.7,624,2436,2626,4260,3556,152,7923,67,388,4194,6396,1245,123,582,31,16,137,1838,167,1485,1749,10689,1331,148501.19876534346
California,6,602302,2302,SanMateoCounty(part),14342,13.7,2271,1847,2709,3440,515,1195,857,6285,4447,78,6753,271,476,3863,145,34,11682,3154,7753,3435,3066,9830,1519,343554.0580114349
California,6,602303,2303,SanMateoCounty(part),10106,11.8,141,632,1135,2499,4375,1465,667,44,299,2466,393,3135,776,1666,,776,8358,2261,5847,1998,2361,5937,2533,199857.85671878094
California,6,602305,2305,SanMateoCounty(part),9013,8.3,402,1582,1044,2175,3418,794,4782,4231,192,3564,3882,3269,129,1524,29,218,724,1667,5986,136,2593,6172,1904,13666.415178076113
California,6,602306,2306,SanMateoCounty(part),12250,12.8,1824,1843,3128,2021,4349,91,6234,616,4442,381,7852,2183,1196,547,,536,977,371,793,1249,1486,8324,3715,124906.47346938777
California,6,602401,2401,AlamedaCounty(part),9385,8.0,779,555,1845,1689,3125,2171,495,448,2787,1332,949,3811,1937,183,67,1446,5233,634,4894,3858,392,8091,269,385852.147043154
California,6,602402,2402,AlamedaCounty(part),26897,20.7,4404,591,4514,8567,9978,3247,155,11892,6469,3285,576,5889,6649,7279,1842,94,1884,6752,13917,6228,6528,18824,2668,622851.7418299438
California,6,602403,2403,AlamedaCounty(part),8550,8.1,209,1058,425,2842,2633,1592,3423,5127,1484,2824,1486,3187,246,135,437,28,6162,722,4553,3276,278,8155,47,327653.2514619883
California,6,602404,2404,AlamedaCounty(part),20710,18.3,5371,1944,5324,3846,716,2579,1979,9731,4237,7122,8489,226,6718,1999,1218,1224,13732,5288,13464,1957,3416,14834,4755,195765.01207146308
California,6,602405,2405,AlamedaCounty(part),19868,13.8,4439,3083,3763,4218,6273,253,11162,876,5285,8335,438,4592,4265,5682,12,93,1433,287,13244,4537,4637,13817,2477,453766.65995570767
California,6,602406,2406,AlamedaCounty(part),13331,11.4,1460,1301,3137,3640,3582,167,6619,6713,3875,4892,555,3616,1348,2596,212,386,8873,257,814,2721,2099,10130,1833,272106.10606856196
California,6,602407,2407,AlamedaCounty(part),18146,13.8,2909,1726,4130,4826,5282,2182,1145,81,4676,512,7317,277,2193,591,355,1422,12689,3561,11655,2929,4815,11947,3683,292964.22903119144
California,6,602408,2408,AlamedaCounty(part),11175,9.4,959,1399,2355,2612,3168,1641,5828,5346,3188,334,326,2366,45,424,931,833,6484,1442,744,2329,1809,7729,1181,232906.6577181208
California,6,602409,2409,AlamedaCounty(part),13162,7.7,2353,1204,2545,2449,489,2155,8185,4976,4869,3692,3797,4278,29,4583,81,111,887,234,773,3118,2028,9552,1289,311805.8729676341
California,6,602410,2410,AlamedaCounty(part),19485,10.8,1434,3903,2146,4300,6474,2662,11964,7522,539,7489,4344,1117,1832,1846,356,167,13355,2212,14798,2476,1894,17051,1420,247675.94559917884
